Order No.,Products,Date
15247,P985 P762 P139 P3719 P3492,2013-9-4
15248,P1535,2013-9-4
15249,P985 P481 P65 P1451 P2852 P3149 P378 P3304 P1684 P171 P1388 P840 P1387 P88 P360 P762 P39 P3429 P3449 P3427 P3421 P3302 P3418 P1436 P1475 P680 P639 P293 P1449 P36 P984 P40 P35 P300 P63 P3294 P3279,2013-9-4
15250,P306 P3360 P555 P166 P1059 P755 P1367,2013-9-4
15251,P1692 P3162 P543 P316 P541 P832 P1428 P136 P1816 P1203 P752,2013-9-4
15252,P341 P749 P747 P3508 P779 P608 P1100 P1121 P1105 P506 P3505 P193 P3543 P687 P288 P2151 P448 P184 P3360 P1129 P769 P767 P3428 P1685 P881 P660 P3542 P3508 P809 P1821 P193 P341 P608 P3543 P505 P1100 P1121 P1344 P854 P3505 P1053 P2151 P1993 P3535 P3217 P1077 P2701 P1079 P260 P3099 P1336 P112 P1900 P798 P1001 P313 P798 P213 P2771 P799 P2771 P2771 P798 P3948 P2983 P298 P2983 P1843 P1781 P3565 P1846 P3067 P177 P3099 P1077 P3085 P2701 P3409 P997 P750 P1813 P422 P423 P213 P2420 P452 P595 P213 P2246 P252 P253,2013-9-4
15253,P2602,2013-9-4
15254,P3949 P3909 P3618 P868 P3684 P203 P2983 P3279 P35 P1130 P1380 P1470 P3779 P258 P63 P862 P526 P703 P3684 P3817 P361 P295 P35 P3340 P3563 P3561 P1063 P703 P3572 P113 P362 P36 P220 P113 P242 P1111 P3907 P3950 P458 P258 P587 P2391 P3561 P3685 P416 P391 P2983 P361 P3636 P2618 P1734 P2601 P361 P2602 P2601 P1177 P3949 P654 P2441 P692 P691 P692 P3998 P949 P1026 P254 P145 P3778 P3801 P3942 P77,2013-9-4
15255,P4022 P4023 P4000 P1772 P587 P671 P221 P1423 P1422 P1901 P414 P3057 P891 P1162 P171 P1166 P806,2013-9-4
15256,P26 P309 P53 P1057 P312,2013-9-4
15257,P250 P1646 P68 P840 P3410 P3408 P3518 P3531 P3519 P3523 P3510 P2168 P67 P876 P104 P392 P103,2013-9-4
15258,P532 P859 P101 P46 P131 P2090 P735,2013-9-4
15259,P2608 P531 P887 P1112 P211 P261 P261 P1621 P129 P2041 P1 P55,2013-9-4
15260,P1176 P2443 P2627 P1760 P464 P1961 P894 P638,2013-9-4
15261,P298 P1409 P195 P154 P1197 P300 P299 P401 P762 P837 P1134 P11 P12 P434 P714 P1 P2761 P1057,2013-9-4
15262,P425 P837 P250 P1197 P650 P446 P105 P1556 P214 P1329 P173 P252 P217 P751 P432 P374 P1063 P526 P2383 P965 P2603 P288 P72 P2602 P1432 P2637 P2029 P1041 P1012 P212 P213 P799 P2357 P1262 P806 P317 P657 P656 P2642 P454 P1133 P1771 P328 P51 P1088 P2049 P1909 P1239 P2262,2013-9-4
15263,P135 P3816 P2383 P369 P1491 P3639 P3702 P3710 P3711,2013-9-4
15264,P202 P130 P1090 P131 P452 P96 P1024 P2087 P2623 P125 P1262 P2101 P212,2013-9-4
15265,P3144 P3146 P773 P591 P61 P3164 P3168 P3302 P77 P81 P1275 P3095 P3305 P3301 P2792 P3299 P3303 P62 P3304 P60 P772 P139 P359 P1863 P1597 P1761 P903 P2691 P3399 P3395 P1205,2013-9-4
15266,P3545,2013-9-4
15267,P1609 P1537,2013-9-4
15268,P1588 P292 P293,2013-9-4
15269,P1619 P706 P705 P1331 P3436 P222 P175 P449 P218 P2383 P1356 P88,2013-9-4
15270,P1234 P1641 P263 P265 P893,2013-9-4
15271,P531 P262 P2185 P754 P520 P651 P493 P22 P174 P201 P537 P2984 P1479 P2899 P3382 P2932 P2923 P315 P1475 P1491 P3436 P3432 P3448 P3447 P2939 P3450 P3420 P3408 P3410 P3359 P3360 P3465 P372 P405 P1707 P2267 P3114 P3552 P3074 P2413 P3415 P3553 P2894 P2485 P3137 P2063 P3554 P3070 P2208 P2740 P1315 P2573 P2891 P2274 P2372 P2486 P2711 P2073 P663 P629 P1558 P1931 P656 P1461 P3324 P3340 P1248 P3511 P3518 P3523,2013-9-4
15272,P3947,2013-9-4
15273,P2116 P2250,2013-9-4
15274,P556 P316 P1204 P3566 P3464 P2383,2013-9-4
15275,P3382 P41,2013-9-4
15276,P321 P3659 P396 P3848 P349 P1326 P749 P421 P3997 P289 P1253 P1219 P1264 P226 P4007,2013-9-4
15277,P3583 P3278 P3279 P139 P3901 P2603 P3716 P3720 P3715 P3946 P3562 P3563 P3561 P3560 P3469 P3955,2013-9-4
15278,P310 P110 P893 P239 P523 P1515 P1514 P1070 P752 P961 P1253 P552 P1405 P1356 P415 P414 P3338 P125 P3043 P683,2013-9-4
15279,P381 P1492 P281 P372 P3331 P279 P226 P135 P3346 P350 P3545 P780 P3489 P1430 P3345 P3354 P1457 P355 P54 P171 P606 P1684 P341 P357 P356 P1784 P1603 P2442 P10,2013-9-4
15280,P46 P3406 P3302 P612 P349 P167 P396 P393 P3649 P3745 P3744 P3733 P3463 P711 P2603 P3399 P293 P591 P1986 P3408 P3407 P3429 P1641,2013-9-4
15281,P3528,2013-9-4
15282,P169 P604,2013-9-4
15283,P1349 P2383,2013-9-4
15284,P1314,2013-9-4
15285,P3303 P1253 P3305 P196 P197 P206 P874 P3340 P3410 P49 P3299,2013-9-4
15286,P1965 P1248 P1398 P715 P869 P966 P2642 P2676 P360 P199 P873 P477 P116 P478 P855 P655 P2121 P598 P1639 P311 P125,2013-9-4
15287,P2256 P121 P145 P449 P813 P222 P425 P531 P231 P1026 P175 P110 P1242 P839,2013-9-5
15288,P1542 P1536 P2829 P681 P1055 P680 P2793 P1475 P315 P2754 P2328 P3677 P2848 P1491 P1976 P1684 P2046 P548 P2581 P1541 P314 P1344 P1009 P278 P609 P606,2013-9-5
15289,P2360,2013-9-5
15290,P532 P1234 P1647 P12 P1294 P1088 P230 P2200 P786 P188,2013-9-5
15291,P1 P1012 P1743 P773 P358 P60 P1166 P139 P1262 P66 P293 P772 P1090 P237 P905 P91 P92 P90 P242 P799 P2049 P904 P1962 P213 P798 P212,2013-9-5
15292,P266 P1042,2013-9-5
15293,P1090 P435 P90 P755 P1644 P1123 P92 P1005 P904 P241 P1415 P1622 P1692 P1004 P240 P787 P234 P235,2013-9-5
15294,P2606,2013-9-5
15295,P7 P293 P3305 P419 P293 P291 P176 P440 P3947 P711 P2618 P3154 P3730 P217,2013-9-5
15296,P139 P1590 P47 P1197 P1240 P559 P392 P262 P965 P447,2013-9-5
15297,P3966 P4022 P1433 P268 P40 P3429 P984 P2086 P3555 P3818 P3836,2013-9-5
15298,P1124 P47 P157 P104 P103 P156 P1918 P166 P1444 P1646 P68 P169 P1211 P2940 P212 P1251 P1993 P596 P750 P1527 P1562 P448 P849 P848 P1471 P2234 P1882 P383 P200 P3088 P447 P260 P69 P67 P1 P58 P2620 P2080 P2233 P2081 P66 P265 P1332 P1623 P293 P263 P595 P199 P139 P1427 P641 P591 P358 P59 P60 P76,2013-9-5
15299,P1480 P2850 P1911 P2088 P557 P795 P2260 P2696 P914 P952 P203 P78 P131 P19 P312 P3417 P1033 P1678 P59 P3447 P3452 P3088 P620,2013-9-5
15300,P633 P1890 P1867 P2457 P1010 P3536 P126 P31 P370 P3821 P447 P100 P123 P307 P1 P58 P312 P3539 P3487 P3540 P3538 P3506 P750 P3909 P606 P247 P3410 P137 P3956 P1405 P3408 P1227 P2517 P3949 P952 P951 P861 P1068 P571 P3829 P3817 P3278 P35 P36 P38 P3563 P3562 P3560 P3561 P1299 P2618 P3527 P3529,2013-9-5
15301,P2939 P3454 P2636 P775 P894 P754 P3453 P95 P60 P81 P641 P1065 P1390 P475 P2082 P2232 P2167 P3579 P3576 P863 P3505 P1229 P2092 P3141 P172 P1454 P511 P104 P103,2013-9-5
15302,P2777 P1419 P2804 P1671 P1672 P2546 P1186 P630 P1418 P1522 P1368 P2968 P2969 P1046 P405 P1742 P522 P2925 P2761 P1048 P1360 P529 P528 P298 P717 P860 P2536 P496 P905 P1275 P241 P2131 P1004 P1774 P1416 P244 P1208 P1292 P2310 P1365 P383 P382 P2022 P1537,2013-9-5
15303,P3010,2013-9-5
15304,P234 P235 P652 P69 P2623 P1234 P1419 P1875 P1211,2013-9-5
15305,P3577,2013-9-5
15306,P1438 P990 P997 P2850 P1179 P811 P1216 P1422 P2364 P2624 P2488 P2458 P2062 P1974 P1106 P1091 P356 P660 P506 P1121 P1100 P1117 P341 P780 P826 P55 P3438 P200 P243 P92 P1005 P705 P1619 P5 P3727,2013-9-5
15307,P1490 P1575 P2223 P2383 P128 P580 P472,2013-9-5
15308,P1850 P3474,2013-9-5
15309,P125 P1177 P898 P900 P2732 P2478 P110 P532 P1575 P1170 P123,2013-9-5
15310,P3934 P2086 P3067 P543 P832 P316 P1428 P1977 P500 P531 P3424 P97 P1267 P889 P2397 P625 P534 P3429 P40 P3144 P33 P3836 P3818 P3813 P3099 P693 P45 P1608 P3324 P3791 P3785 P3805 P620 P1132 P27 P29 P28 P417 P289 P3511 P72 P290 P162 P161 P984 P3361 P1413,2013-9-5
15311,P773 P3406 P3302 P3408 P3583 P139 P3551 P396 P672 P586 P3650 P2243 P3509 P417 P288 P393 P3509 P290 P2149 P3094 P3091 P3089 P3102 P3093 P3105 P3095 P3434 P1827 P831 P665 P1293 P101 P703 P1949 P220 P703 P1212 P3456 P131 P2558 P2624 P1285 P1694 P101 P3434 P1835 P1597 P1567 P1515 P1206,2013-9-5
15312,P138,2013-9-5
15313,P78 P22 P372 P435 P852 P111 P1608 P323 P186 P786 P16 P404 P2383 P1349,2013-9-5
15314,P2088 P2650 P1808 P811 P2818 P3446 P3489 P3506 P3485 P3508 P85 P3521 P2603 P2397 P625 P620 P3425 P3422 P3427 P3424 P3426 P3423 P531,2013-9-5
15315,P403 P3583 P1567 P1515 P127 P126 P3341 P3347 P60 P3551 P59 P139 P3300 P18 P19,2013-9-5
15316,P1026 P1888 P1228 P1227 P2391 P1869 P608 P218 P216 P215 P3429 P269 P631 P2542 P2459,2013-9-5
15317,P3297,2013-9-5
15318,P1010 P96,2013-9-5
15319,P261 P1239,2013-9-5
15320,P2253 P1385 P617 P26 P777 P778 P779 P780 P341 P356 P355 P1741 P721 P49 P705 P370 P31 P1207 P591 P76 P1768 P89 P789 P699 P697 P1451 P793 P794 P497 P795 P1380 P1361 P796 P349 P372 P703 P562 P1774 P1648 P357 P808 P810 P1668 P1214 P305 P169 P312 P128 P1843 P709 P1454 P826 P1822 P1821 P762 P829 P831 P666 P833 P263 P291 P1427 P1228 P837 P1230 P1134 P838 P531 P629 P841 P107 P214 P1540 P1639 P123 P127 P694 P45 P2286 P848 P849 P747 P506 P1121 P1100 P400 P1099 P1071 P1238 P2255 P700 P17 P856 P39 P475 P1929 P2167 P403 P1115 P625 P2397 P620 P2603 P1068 P369 P85 P739 P679 P215 P247 P872 P585 P1684 P1111 P22 P78 P876 P3158 P3185 P3582 P3626 P3579 P3576 P3573 P3804 P3325 P3429 P3446 P3457 P3438 P3447 P3344 P3454 P3452 P3427 P3426 P3424 P3423 P3422 P3141 P3172 P3302 P3300 P3408 P3304 P3299 P3303 P3502 P3521 P3523 P3539 P3464 P3463 P3465 P3719 P3720 P3708 P3709 P3701 P3702 P3733 P3817 P3829 P3757 P3751 P3750 P3763 P3772 P3795 P3792 P3789 P3843 P877 P879 P1934 P1117 P1259 P1265 P1760 P533 P1268 P892 P901 P482 P82 P905 P714 P906 P910 P708 P2054 P2297 P1435 P952 P955 P1325 P687 P99 P638 P961 P555 P96 P1662 P962 P72 P917 P2458 P918 P919 P2104 P2105 P920 P226 P431 P1844 P2059 P139 P237 P345 P749 P2206 P2861 P1310 P2071 P483 P1156 P1163 P984 P62 P985 P293 P986 P253 P529 P1109 P1172 P1433 P171 P612 P269 P589 P277 P526 P91 P1005 P1727 P2188 P288 P492 P350 P129 P1024 P1509 P1407 P1735 P736,2013-9-5
15321,P298 P184 P1122 P622 P891 P1565 P535 P1409 P130 P224 P1218,2013-9-5
15322,P200 P714 P856 P294 P273 P3487 P3489 P1 P1689,2013-9-5
15323,P1084 P29 P1132 P28 P204 P158 P2224 P2642 P2676 P1741,2013-9-5
15324,P1232,2013-9-5
15325,P545,2013-9-5
15326,P598,2013-9-5
15327,P3305 P265 P3303 P60 P3300 P3302 P1041 P66 P1743 P264 P3301 P3301 P2928 P384 P2963 P583 P3143 P316 P381,2013-9-5
15328,P1639,2013-9-5
15329,P3717 P3720 P3716 P3440 P3446 P3493 P3172 P199 P3171 P1003 P2131 P1198 P10 P3756 P3545 P127 P3572 P3582 P3571 P3355 P3761 P3762 P1584 P1527 P1198 P1527 P126 P3754 P3752 P3750 P3751 P990 P3536 P914 P1198 P3758 P3794 P3793 P3794 P3355 P2091 P2403 P2091 P1736 P1266 P1886 P53 P1842 P3340 P865 P55 P2816 P633 P1225 P567 P566 P1054 P260 P1084 P1422 P1084 P1083 P52 P208,2013-9-5
15330,P1006 P2188 P1645 P1727 P1178 P1641 P1266 P1455 P805 P742 P1574 P101 P894,2013-9-5
15331,P2383 P2603 P89 P316 P817 P36 P1185 P28 P482 P1206 P187 P304 P829 P535 P1741 P415 P2073 P1850 P160 P549,2013-9-5
15332,P2511 P212,2013-9-5
15333,P3185 P3188 P1242 P893 P21 P310 P754 P2006 P1998 P644 P549 P1361 P1380 P2932 P2899 P1479 P2905 P680 P1529 P302 P445 P418 P137 P362 P289 P263 P36 P79 P717 P40 P650 P134 P291 P66 P265 P292 P139 P420 P309 P1177 P1090 P58 P1194 P83 P1092 P1384 P1385 P1061 P600 P64 P126 P127 P233 P232 P1402 P222 P1 P564 P18 P19 P464 P10,2013-9-5
15334,P3271,2013-9-5
15335,P3302 P81 P139 P77 P772 P292 P3305 P3303 P293 P66 P291 P1641 P1918 P622 P1238 P116 P2378 P2168 P179 P891,2013-9-5
15336,P59 P139 P350 P305 P1918 P1384 P3576 P591,2013-9-5
15337,P3583 P77 P81 P3304 P3410 P359 P62 P762 P292 P293 P3408 P60 P3299 P291 P3300 P984 P764 P2076 P1166,2013-9-5
15338,P2041 P1986 P607 P1340,2013-9-5
15339,P85 P275 P3141 P475 P599 P131 P1592 P683 P549 P1383 P10 P668 P18 P26,2013-9-5
15340,P585 P3613 P712 P3340 P122 P292 P263 P3464 P134 P1427 P1137 P2601 P96 P1363 P285 P1203 P290 P1252 P2618,2013-9-5
15341,P757,2013-9-5
15342,P731 P732 P203 P115 P3310 P3316 P269 P624 P350 P1293 P53 P52 P3434 P664 P839 P121 P125 P54 P1402 P233 P232 P1421 P1957 P126 P3217,2013-9-5
15343,P1527 P1835 P101 P1148 P311 P664 P1 P149 P240 P242 P891 P1240 P166 P308 P231 P409,2013-9-5
15344,P3438 P694,2013-9-5
15345,P1395 P982 P309 P773 P641 P359 P392 P592 P61 P1003 P1011 P480 P227 P40 P333 P772 P591 P76 P789 P1209 P805 P158 P169 P1216 P1423 P1422 P2243 P441 P665 P1427 P59 P81 P1639 P210 P598 P192 P1356 P850 P1391 P2602 P869 P966 P41 P3141 P3302 P2246 P755 P211 P310 P2287 P905 P2468 P1662 P962 P760 P139 P60 P1796,2013-9-5
15346,P664 P3407 P1427 P3406 P3300 P263 P3301 P3303 P3302 P3310 P137 P134 P3528 P3527,2013-9-5
15347,P270,2013-9-5
15348,P1167,2013-9-5
15349,P409 P2383 P506 P837 P197 P1775 P2123 P728 P562 P595 P41 P994 P603 P1134 P285 P286 P66 P351 P689 P529 P1677 P995 P2123 P1506 P1807 P980 P95 P419 P2200 P687 P226 P431 P280 P279 P515 P646 P978 P199 P2201 P856 P481 P536 P1896 P1527 P1167 P412 P1559 P1148 P367 P169 P1677 P635 P1980 P3140 P536 P1059 P2383 P656 P41 P1433 P351 P2441 P12 P1244 P1352 P368 P1427 P81 P772 P76,2013-9-5
15350,P39 P984 P985 P511 P1166 P1329 P156 P47 P103 P104 P481 P278 P277 P1240 P1954 P2441 P1351 P461 P161 P2383 P1349 P69 P1966 P1646 P67 P361 P360 P1538 P1135 P63 P64 P600 P657 P656 P1563 P1013 P1449 P1581 P365 P366 P364 P363 P1395 P1448 P982 P1456 P295 P2849 P698 P181 P180 P699 P529 P1145 P528 P837 P130 P1397 P1407 P759 P833 P40 P1679 P2627 P1374 P1171 P392 P2543 P405 P78 P1848 P174 P201 P165 P536 P742 P1574 P805 P1011 P199 P1527 P66 P293 P2044 P68 P1651 P816 P604 P452 P1010 P2029 P2850 P172 P2851 P1450 P1911 P65 P2852 P1451 P171 P1452 P192 P1041 P2511 P687 P2059 P2204 P1413 P596 P1894 P1735 P1187 P564 P2141 P1470 P1356 P2793 P2755 P681 P1542 P1536 P2177 P2336 P680 P2754 P2328 P2830 P2619 P1529 P1479 P1048 P1360 P225 P11 P1243 P1244 P12 P794 P497 P504 P370 P1635 P31 P785 P2479 P1877 P836 P842,2013-9-5
15351,P426 P689 P425 P840 P1387 P1388 P504 P1738 P2178 P1373 P292 P984 P77 P2076 P829 P263 P293 P378 P367 P380 P3149 P3150 P422,2013-9-5
15352,P3775,2013-9-5
15353,P469,2013-9-5
15354,P2378 P2168,2013-9-5
15355,P3536 P1 P3718 P126,2013-9-5
15356,P2305 P531 P2123 P2397 P625 P620 P1563 P2602 P10 P1918 P584 P845 P844 P1136 P401 P2141,2013-9-5
15357,P3948 P704 P392 P156 P1162 P3432 P444 P1380 P1130 P1383 P1361 P56 P1363 P3227 P188 P187 P323 P300 P3429,2013-9-5
15358,P2262 P1515 P19 P772 P1737 P1878 P648 P1166 P1405 P530 P324 P1093 P234 P235 P2253 P1388,2013-9-5
15359,P1650 P848 P1471 P2233 P762 P829 P415 P891 P76 P591 P139 P81 P77 P1427 P263 P264 P293 P292 P265 P66 P291 P877 P1360 P1048 P105 P447 P54 P52 P53,2013-9-5
15360,P3587 P3339,2013-9-5
15361,P1349 P233 P262,2013-9-5
15362,P618,2013-9-5
15363,P3093 P1349 P2383 P3429 P16 P961 P305 P3301 P264 P3956 P3410 P3303 P668 P1784 P1121 P506 P437 P438 P3185 P3188 P3187 P3184 P263 P40 P79 P188 P3099 P3098 P3950 P3951 P3948 P17,2013-9-5
15364,P3408 P3407 P3410 P3305 P3336,2013-9-5
15365,P3143 P1244 P11 P12 P1243 P3146 P3145 P3141 P3144 P3147 P3154 P3150 P3219 P3217 P3187 P3100 P3095 P3102 P3088 P3099 P3098 P3048 P391 P3087 P1255 P327 P649 P328 P2679 P149 P704 P1128 P287 P78 P22 P514 P418 P2334 P2476 P2405 P2331 P477 P116 P575 P574 P572 P576 P573 P577 P1684 P606 P41 P414 P1252 P552 P276 P413 P275 P274 P85 P369 P28 P29 P2602 P2603 P538 P2224 P1065 P2128 P1942 P2127 P2083 P2167 P719 P2232 P1064 P2082 P1390 P1929 P1391 P475 P711 P137 P37 P362 P36 P412 P199 P178 P627 P297 P45 P126 P125 P1367 P289 P263 P415 P762 P828 P374 P169 P673 P305 P2761 P1211 P1361 P1380 P697 P181 P77 P420 P299 P404 P1385 P83 P1194 P1061 P1384 P1092 P532 P1130 P1027 P195 P1019 P1353 P771 P770 P994 P985 P984 P358 P139 P1918 P166 P1286 P1641 P303,2013-9-5
15366,P704 P60 P1010 P965 P511 P889 P962,2013-9-5
15367,P53 P3542 P3715 P3714 P3539,2013-9-5
15368,P53 P3339 P3324 P105 P212 P3456,2013-9-5
15369,P152 P163 P88 P164,2013-9-5
15370,P1521 P3848 P79,2013-9-5
15371,P3751 P3750 P3752 P3523 P3321 P847 P638 P1543 P1283 P131 P3544 P731 P3179 P121 P1025 P633 P10,2013-9-5
15372,P693 P1033,2013-9-5
15373,P2397 P3429 P9 P197 P444,2013-9-5
15374,P3168 P598 P1579 P1250 P1580 P1578,2013-9-5
15375,P302 P866 P1122 P2258 P552 P1252 P1684 P2918 P549 P3102 P3100 P3093 P3090 P3141 P3155 P3146 P2260 P2696 P886 P2262 P310 P894 P903 P1086 P140 P54 P82 P240 P905 P714 P286 P687 P1466 P3119 P2938 P99 P476 P957 P958 P962 P72 P600 P919 P1293 P1430 P1575 P139 P1612 P237 P200 P1125 P2320 P1537 P971 P2348 P773 P641 P66 P264 P2538 P1171 P999 P34 P1173 P1000 P1414 P90 P92 P1090 P1912 P1474 P69 P288 P203 P1023 P1024 P2376 P1187 P2515 P2721 P1027 P1541 P1130 P1589 P1945 P532 P438 P40 P2168 P404 P370 P1205 P3077 P793 P794 P497 P795 P1379 P1380 P1361 P1138 P1568 P527 P518 P536 P1574 P1607 P1620 P305 P169 P128 P622 P2502 P2501 P2133 P583 P2804 P1670 P1673 P294 P2096 P828 P113 P291 P265 P59 P838 P131 P629 P844 P845 P846 P716 P449 P426 P199 P1404 P713 P445 P2255 P712 P711 P1240 P625 P620 P1381 P109 P2618 P27 P204 P739 P261,2013-9-5
15376,P3318 P3564 P3550 P3568 P3319 P3336 P391 P3544 P198,2013-9-5
15377,P2957,2013-9-5
15378,P158 P159 P1114 P18 P1073 P1247 P3360 P160 P637 P711,2013-9-5
15379,P40,2013-9-5
15380,P1574 P3399 P164 P1662 P776 P415 P891 P1011 P66 P1289 P1513 P994 P405 P1491 P681 P1542 P2511 P1588 P1743 P199 P805 P285 P78 P22 P72 P894,2013-9-5
15381,P462 P967 P1537 P634 P1966 P2637 P1216 P1423 P1422 P2243 P312 P2502 P2501 P2446 P1946 P2546 P639 P1217 P1670 P2704 P1671 P1672 P2479 P727 P1074 P2076 P2077 P2522 P2494 P1473 P2254 P1881 P709 P146 P2096 P825 P1822 P1225 P762 P829 P441 P831 P316 P543 P832 P2078 P833 P263 P291 P265 P81 P250 P1639 P123 P126 P694 P716 P2236 P1235 P1606 P1471 P2234 P849 P690 P1404 P329 P1679 P313 P2046 P412 P637 P362 P88 P537 P569 P134 P2167 P2083 P2127 P2391 P538 P1381 P2603 P2618 P2601 P29 P27 P717 P651 P12 P862 P369 P1584 P85 P108 P326 P865 P115 P731 P276 P432 P302 P695 P644 P1975 P679 P2387 P1530 P215 P1579 P1250 P606 P396 P1059 P163 P164 P704 P3148 P3093 P3577 P3169 P3429 P3433 P3447 P3432 P3592 P3343 P3331 P3341 P3347 P3452 P3427 P3426 P3425 P3147 P3565 P3419 P3145 P3614 P3302 P3299 P3303 P3301 P3314 P3555 P3360 P3547 P3564 P3550 P3563 P3560 P3399 P3511 P3507 P3629 P208 P1915 P2099 P2866 P1962 P2692 P2238 P1686 P1265 P2051 P2480 P1641 P2226 P2473 P2734 P1269 P892 P1079 P1137 P82 P911 P1363 P2054 P2308 P2366 P1434 P230 P1088 P2200 P231 P2142 P952 P2056 P2154 P1919 P2584 P2145 P1993 P1992 P956 P2103 P1284 P687 P2938 P1286 P2571 P3025 P2345 P2152 P958 P961 P2488 P1967 P611 P15 P306 P166 P1918 P1699 P1485 P919 P2507 P2203 P139 P60 P1961 P2265 P1612 P1295 P1446 P2298 P2266 P1296 P927 P928 P929 P2818 P1298 P1495 P2726 P1987 P1 P2495 P2516 P3047 P2886 P2248 P976 P2492 P2552 P334 P558 P1146 P592 P758 P252 P994 P603 P528 P1437 P260 P997 P3330 P999 P61 P282 P284 P2850 P1911 P2443 P633 P1136 P1353 P92 P2567 P2766 P2581 P2188 P1179 P1912 P1013 P1449 P1581 P365 P366 P364 P363 P1016 P203 P522 P227 P521 P1421 P2407 P1420 P2088 P1026 P759 P1407 P1735 P735 P1899 P737 P433 P195 P678 P1589 P101 P2090 P1538 P764 P535 P1556 P763 P1945 P1565 P1736 P1143 P2698 P439 P774 P775 P1199 P404 P33 P1740 P1741 P1202 P1144 P783 P1123 P333 P348 P1611 P1208 P1768 P789 P1743 P790 P791 P417 P497 P795 P2666 P1757 P796 P1774 P1668,2013-9-5
15382,P546 P756 P49,2013-9-5
15383,P2042 P658,2013-9-5
15384,P60 P759 P217 P1993 P2145 P151 P145 P1457 P3301 P506 P641 P2286,2013-9-5
15385,P2538 P151 P1174 P1176 P1966 P816 P1440 P1094 P3465 P244 P91 P3359 P1080 P2006 P1242 P3436,2013-9-5
15386,P3407 P92 P2603 P1269,2013-9-5
15387,P3098 P3099 P3089 P3090 P3093 P2383,2013-9-5
15388,P573 P577 P574 P576 P572 P575 P3406 P3464 P3463 P245 P3450 P2939 P126 P3407 P3408 P3408 P3407 P139 P3302 P1768 P552 P78 P2507 P66 P265 P293 P3410 P126 P1102 P1275 P844 P538 P3100 P3095 P3093 P3102 P199 P2534 P3305 P869 P3435,2013-9-5
15389,P1349,2013-9-5
15390,P1136 P10,2013-9-6
15391,P607 P464 P307 P99 P1041 P995 P528 P1356 P1145 P1048 P1360 P3551 P3583 P660 P3473 P3513 P3764 P3341 P3303 P1248 P3763 P69 P72 P289 P288 P71 P70 P317 P3653 P3652 P3399 P3398 P66 P3300 P3299 P3733 P3820 P3814 P3817,2013-9-6
15392,P3536 P3545 P3616 P1619 P1203 P1419 P629 P131 P19 P26 P18 P323 P3464 P3463,2013-9-6
15393,P1262 P1239 P837 P2642 P212,2013-9-6
15394,P1825 P2603,2013-9-6
15395,P103 P104 P1124 P3165 P3168 P3166 P3167 P1700 P3576 P3625 P3624 P3604,2013-9-6
15396,P1025 P145 P133 P580 P131 P1493,2013-9-6
15397,P53 P52 P3095 P3463 P1070 P1073 P413 P121 P556 P664 P2708 P1575 P125 P3733 P3545 P3536 P3717 P3718 P1269 P1268,2013-9-6
15398,P3452 P1363 P35 P3304 P550 P796 P876 P3438 P1641 P1013 P160 P3226 P2642 P822 P2679 P1909 P1355 P360 P426 P689 P178 P201 P1253 P266 P171 P531 P301 P41 P552 P40 P392,2013-9-6
15399,P110 P309 P523 P337 P755 P731 P732 P547,2013-9-6
15400,P636 P2603 P160 P158 P18 P1641 P139 P29 P28 P1125 P1092,2013-9-6
15401,P27 P205 P28 P127 P203 P126 P212,2013-9-6
15402,P978,2013-9-6
15403,P85,2013-9-6
15404,P2866,2013-9-6
15405,P600 P63 P1135 P969 P1622 P1875 P58 P261 P1 P447 P448 P1211 P755 P926 P3279 P169 P216 P217 P766 P1428 P543 P832 P316 P177 P1224 P511 P1875 P985 P670 P771 P426 P184 P59 P591 P139 P772 P358 P359 P1166 P60 P215 P2081 P2080 P985 P66 P62 P293 P829 P850 P265 P219 P598 P485 P2219 P2073 P2054,2013-9-6
15406,P1238 P2088 P599 P207,2013-9-6
15407,P3629,2013-9-6
15408,P788 P595 P3454 P331 P1166 P752 P639 P201 P492 P3304 P762 P789 P89 P591 P292 P265 P829 P114 P3464 P3407 P1768 P1769,2013-9-6
15409,P128,2013-9-6
15410,P1106,2013-9-6
15411,P3711 P3735 P3702 P859 P425 P184 P183 P426 P197 P8 P197 P3529 P3738 P389 P766 P3300 P1635 P784 P785 P31 P1427 P591 P59 P3408 P77 P772,2013-9-6
15412,P2656,2013-9-6
15413,P2407 P2102 P1706 P2102 P3229 P1666 P606 P606 P247 P270 P199 P713 P1588 P417 P289 P417 P418 P288 P71 P69 P2511 P27 P205 P117 P2602 P295 P1251 P1251 P1588 P887 P1493 P159 P1251 P2337 P831 P1479 P2328 P683 P2857 P326 P853 P169 P2293 P1455 P858 P137 P264 P291 P292 P137 P237 P292 P291 P3218 P875 P2129 P3088 P95 P693 P2338 P1639 P1923 P125 P629 P528 P1938 P529 P1145 P1999 P1336 P1425 P2153 P1670 P84 P413 P1671 P903 P997 P952 P3182 P3220 P260 P1028 P1029 P117 P131 P2518 P22 P1587,2013-9-6
15414,P596 P2919 P1198,2013-9-6
15415,P3429 P721,2013-9-6
15416,P3218 P1058 P2189 P1180 P40 P367 P1222 P984 P762 P62 P1646 P293 P361 P264 P35 P66 P1536 P64 P63 P1542 P997 P1020 P2903 P1768 P2243 P2054 P292,2013-9-6
15417,P1215 P1607 P472,2013-9-6
